央視,#genre#
星影,http://27.11.62.176:8008/rtp/225.0.4.172:7980
武侠剧场,http://27.11.62.176:8008/rtp/225.0.4.168:7980
武术,http://27.11.62.176:8008/rtp/225.0.4.165:7980
热播剧场,http://27.11.62.176:8008/rtp/225.0.4.47:7980
爱体育,http://27.11.62.176:8008/rtp/225.0.4.53:7980
爱电影,http://27.11.62.176:8008/rtp/225.0.4.50:7980
爱综艺,http://27.11.62.176:8008/rtp/225.0.4.51:7980
精选,http://27.11.62.176:8008/rtp/225.0.4.152:7980
经典电影,http://27.11.62.176:8008/rtp/225.0.4.48:7980
美人,http://27.11.62.176:8008/rtp/225.0.4.151:7980
美妆,http://27.11.62.176:8008/rtp/225.0.4.150:7980
茶频道,http://27.11.62.176:8008/rtp/225.0.4.233:7980
解密,http://27.11.62.176:8008/rtp/225.0.4.153:7980
足球,http://27.11.62.176:8008/rtp/225.0.4.167:7980
重庆娱乐,http://27.11.62.176:8008/rtp/225.0.4.194:7980
金色频道,http://27.11.62.176:8008/rtp/225.0.4.239:7980
音乐现场,http://27.11.62.176:8008/rtp/225.0.4.148:7980
高网,http://27.11.62.176:8008/rtp/225.0.4.166:7980
魅力时尚,http://27.11.62.176:8008/rtp/225.0.4.49:7980


資訊,#genre#
Now新闻,P2p://starvod.xyz:19806/d0ba9cc570654f6d958809d4c3f8931d.ts
无线新闻,P2p://starvod.xyz:19806/557d5098116e4e1f9b14008ed764cc71.ts
无线生活,P2p://starvod.xyz:19806/f4650e7cb54645f79ea52469b84ef3c4.ts
无线娱乐,P2p://starvod.xyz:19806/c6994957df9e4488bfb1c462db442f61.ts
无线星河,P2p://starvod.xyz:19806/52d013423e304854a4980bd64c0015ae.ts
无线千禧,P2p://starvod.xyz:19806/8cf149d3490640d298e3bce48cd0e8ae.ts
无线功夫,P2p://starvod.xyz:19806/6043814031384523bc272f4f87aeb298.ts
无线粤片,P2p://starvod.xyz:19806/04fd1cf947634341813b484f497ecbbc.ts
无线戏曲,P2p://starvod.xyz:19806/38b743244a7b4812a4e54b0d32910647.ts
无线亚剧,P2p://starvod.xyz:19806/4eab17c6f15b475696bcb51b61233345.ts
无线少儿,P2p://starvod.xyz:19806/631732f5fa894772aec8ee750359e455.ts
黄金翡翠,P2p://starvod.xyz:19806/d6964956395e43d1a62e6166706f7fcf.ts
无线赛马,P2p://starvod.xyz:19806/ad27c96a4bca4e61be7b4b2ba07368fc.ts
